team,pos,mult,mult_raw,r,n
ARI,QB,1.006,1.079,0.07,61
ATL,QB,1.008,1.115,0.07,60
BAL,QB,0.997,0.962,0.07,66
BUF,QB,0.99,0.857,0.07,62
CAR,QB,0.989,0.84,0.07,69
CHI,QB,0.999,0.984,0.07,64
CIN,QB,1.008,1.115,0.07,61
CLE,QB,0.986,0.806,0.07,68
DAL,QB,1.017,1.244,0.07,65
DEN,QB,0.992,0.892,0.07,66
DET,QB,1.01,1.149,0.07,59
GB,QB,1.002,1.031,0.07,56
HOU,QB,0.998,0.975,0.07,60
IND,QB,1.001,1.02,0.07,63
JAX,QB,0.998,0.971,0.07,67
KC,QB,0.998,0.978,0.07,59
LA,QB,1.005,1.067,0.07,60
LAC,QB,0.996,0.942,0.07,59
LV,QB,1.001,1.017,0.07,61
MIA,QB,1.003,1.037,0.07,61
MIN,QB,0.989,0.848,0.07,59
NE,QB,0.993,0.895,0.07,63
NO,QB,0.995,0.935,0.07,61
NYG,QB,0.998,0.972,0.07,67
NYJ,QB,0.998,0.971,0.07,68
PHI,QB,1.0,0.993,0.07,61
PIT,QB,1.015,1.209,0.07,54
SEA,QB,0.996,0.944,0.07,61
SF,QB,1.0,0.997,0.07,63
TB,QB,1.018,1.26,0.07,58
TEN,QB,1.002,1.025,0.07,64
WAS,QB,1.006,1.09,0.07,65
ARI,RB,1.038,1.204,0.186,144
ATL,RB,0.993,0.962,0.186,141
BAL,RB,0.987,0.93,0.186,141
BUF,RB,1.023,1.124,0.186,141
CAR,RB,1.045,1.24,0.186,144
CHI,RB,1.014,1.075,0.186,144
CIN,RB,1.029,1.154,0.186,144
CLE,RB,0.983,0.911,0.186,151
DAL,RB,1.009,1.051,0.186,147
DEN,RB,0.979,0.888,0.186,150
DET,RB,0.981,0.9,0.186,135
GB,RB,1.002,1.012,0.186,137
HOU,RB,0.972,0.85,0.186,147
IND,RB,1.002,1.008,0.186,147
JAX,RB,0.992,0.957,0.186,140
KC,RB,0.966,0.818,0.186,143
LA,RB,0.992,0.955,0.186,133
LAC,RB,0.971,0.845,0.186,147
LV,RB,1.005,1.029,0.186,144
MIA,RB,1.006,1.033,0.186,141
MIN,RB,0.984,0.913,0.186,141
NE,RB,0.99,0.947,0.186,144
NO,RB,1.004,1.022,0.186,142
NYG,RB,1.032,1.174,0.186,144
NYJ,RB,1.034,1.182,0.186,146
PHI,RB,0.986,0.924,0.186,142
PIT,RB,0.975,0.867,0.186,145
SEA,RB,0.979,0.886,0.186,148
SF,RB,1.001,1.004,0.186,147
TB,RB,0.985,0.92,0.186,140
TEN,RB,1.016,1.084,0.186,141
WAS,RB,1.032,1.174,0.186,144
ARI,WR,1.0,0.972,0.006,231
ATL,WR,1.0,1.052,0.006,231
BAL,WR,1.0,1.039,0.006,241
BUF,WR,0.999,0.876,0.006,238
CAR,WR,1.0,0.951,0.006,218
CHI,WR,1.0,1.057,0.006,240
CIN,WR,1.0,0.959,0.006,227
CLE,WR,1.0,0.987,0.006,226
DAL,WR,1.001,1.192,0.006,236
DEN,WR,0.999,0.836,0.006,236
DET,WR,1.001,1.137,0.006,240
GB,WR,1.0,0.977,0.006,228
HOU,WR,1.0,0.933,0.006,227
IND,WR,1.001,1.107,0.006,220
JAX,WR,1.0,0.996,0.006,239
KC,WR,0.999,0.87,0.006,233
LA,WR,1.0,1.069,0.006,227
LAC,WR,1.0,0.987,0.006,229
LV,WR,1.0,0.986,0.006,233
MIA,WR,1.0,0.918,0.006,243
MIN,WR,1.0,1.0,0.006,226
NE,WR,1.0,0.969,0.006,234
NO,WR,1.0,0.944,0.006,236
NYG,WR,1.0,1.047,0.006,240
NYJ,WR,1.0,0.936,0.006,221
PHI,WR,1.0,0.93,0.006,242
PIT,WR,1.0,1.082,0.006,226
SEA,WR,1.0,0.931,0.006,230
SF,WR,1.0,1.025,0.006,226
TB,WR,1.0,1.015,0.006,235
TEN,WR,1.0,1.021,0.006,243
WAS,WR,1.001,1.192,0.006,226
ARI,TE,1.001,1.005,0.114,122
ATL,TE,0.989,0.906,0.114,119
BAL,TE,0.987,0.889,0.114,111
BUF,TE,0.982,0.838,0.114,105
CAR,TE,1.009,1.076,0.114,122
CHI,TE,1.002,1.021,0.114,113
CIN,TE,1.053,1.471,0.114,119
CLE,TE,0.99,0.913,0.114,120
DAL,TE,0.996,0.961,0.114,104
DEN,TE,1.0,1.001,0.114,121
DET,TE,0.988,0.894,0.114,125
GB,TE,0.995,0.959,0.114,112
HOU,TE,0.99,0.913,0.114,123
IND,TE,1.014,1.126,0.114,121
JAX,TE,1.005,1.04,0.114,126
KC,TE,0.998,0.985,0.114,109
LA,TE,1.013,1.116,0.114,115
LAC,TE,0.981,0.836,0.114,113
LV,TE,0.999,0.991,0.114,115
MIA,TE,1.012,1.109,0.114,119
MIN,TE,0.982,0.843,0.114,114
NE,TE,0.994,0.95,0.114,113
NO,TE,0.989,0.905,0.114,119
NYG,TE,0.982,0.84,0.114,113
NYJ,TE,1.004,1.039,0.114,119
PHI,TE,0.978,0.806,0.114,99
PIT,TE,1.011,1.1,0.114,125
SEA,TE,1.017,1.146,0.114,105
SF,TE,0.994,0.945,0.114,117
TB,TE,1.022,1.196,0.114,116
TEN,TE,0.993,0.935,0.114,120
WAS,TE,1.026,1.231,0.114,104
