12Aaron Rodgers NYJ, QB$7
41Travis Etienne Jr. Jax, RB$44
44Isiah Pacheco KC, RB$11
49Justin Tucker Bal, K$3
5149ers D/ST SF, D/ST$2
53Deebo Samuel SF, WR$23
56Calvin Ridley Ten, WR$20
57Keenan Allen Chi, WR$22
58Amari Cooper Cle, WR$17
67Miles Sanders Car, RB$10
70James Cook Buf, RB$12
72Dalton Schultz Hou, TE$1
78DJ Moore Chi, WR$16
4Christian McCaffrey SF, RB$88
7Josh Allen Buf, QB$61
31Alvin Kamara NO, RB$28
71Mike Williams NYJ, WR$9
88Tyler Bass Buf, K$1
97George Pickens Pit, WR$2
101Cowboys D/ST Dal, D/ST$1
105Jamaal Williams NO, RB$2
108Skyy Moore KC, WR$2
112Treylon Burks Ten, WR$2
114Chigoziem Okonkwo Ten, TE$1
127Tyler Conklin NYJ, TE$1
129Zay Flowers Bal, WR$2
6Ja'Marr Chase Cin, WR$87
28Jalen Hurts Phi, QB$44
30David Montgomery Det, RB$16
55Rhamondre Stevenson NE, RB$27
69Kenneth Walker III Sea, RB$15
75Evan McPherson Cin, K$2
86Bills D/ST Buf, D/ST$1
92Dalvin Cook Bal, RB$2
99David Njoku Cle, TE$1
100Brandin Cooks Dal, WR$2
125Gabe Davis Jax, WR$1
137Elijah Moore Cle, WR$1
148Allen Lazard NYJ, WR$1
11Bijan Robinson Atl, RB$79
22CeeDee Lamb Dal, WR$54
36DK Metcalf Sea, WR$43
62Chris Godwin TB, WR$11
74Cole Kmet Chi, TE$2
87Tyler Lockett Sea, WR$3
96Jahan Dotson Wsh, WR$2
117Tua Tagovailoa Mia, QB$1
130Quentin Johnston LAC, WR$1
141Samaje Perine Den, RB$1
152Jerick McKinnon KC, RB$1
160Packers D/ST GB, D/ST$1
167Eddy Pineiro Car, K$1
13Stefon Diggs Buf, WR$65
17Cooper Kupp LAR, WR$66
18Joe Mixon Hou, RB$52
76Dallas Goedert Phi, TE$7
109D'Andre Swift Chi, RB$1
122Kenny Pickett Phi, QB$1
135Jets D/ST NYJ, D/ST$1
144Daniel Carlson LV, K$2
146Kenneth Gainwell Phi, RB$1
157Geno Smith Sea, QB$1
164Marvin Mims Jr. Den, WR$1
176Rashod Bateman Bal, WR$1
180Damien Harris Buf, RB$1
1Justin Jefferson Min, WR$88
19Dameon Pierce Hou, RB$38
48Mark Andrews Bal, TE$29
64Diontae Johnson Car, WR$9
66Rachaad White TB, RB$14
83Cam Akers Min, RB$5
85Drake London Atl, WR$5
93Pat Freiermuth Pit, TE$3
98Odell Beckham Jr. FA, WR$1
104Daniel Jones NYG, QB$2
118Ezekiel Elliott NE, RB$2
120Saints D/ST NO, D/ST$2
124Greg Zuerlein NYJ, K$1
9Saquon Barkley Phi, RB$77
29A.J. Brown Phi, WR$56
32DeAndre Hopkins Ten, WR$28
45Breece Hall NYJ, RB$19
54Trevor Lawrence Jax, QB$7
79Jonathan Taylor Ind, RB$6
106Jaxon Smith-Njigba Sea, WR$1
119Antonio Gibson NE, RB$1
132Rondale Moore Atl, WR$1
143Dalton Kincaid Buf, TE$1
154Nico Collins Hou, WR$1
162Jake Elliott Phi, K$1
169Panthers D/ST Car, D/ST$1
26Deshaun Watson Cle, QB$7
33Jaylen Waddle Mia, WR$45
37Tee Higgins Cin, WR$32
38Chris Olave NO, WR$33
39DeVonta Smith Phi, WR$31
43Jahmyr Gibbs Det, RB$37
77Javonte Williams Den, RB$7
89Brandon Aiyuk SF, WR$3
102Courtland Sutton Den, WR$1
115Brian Robinson Jr. Wsh, RB$1
128Tyler Higbee LAR, TE$1
139Browns D/ST Cle, D/ST$1
150Graham Gano NYG, K$1
3Tyreek Hill Mia, WR$87
5Patrick Mahomes KC, QB$60
25Najee Harris Pit, RB$41
113AJ Dillon GB, RB$1
126JuJu Smith-Schuster NE, WR$3
138Darnell Mooney Atl, WR$1
149Eagles D/ST Phi, D/ST$1
159Gerald Everett Chi, TE$1
166Cameron Dicker LAC, K$1
173Devin Singletary NYG, RB$1
177Tyler Boyd Cin, WR$1
181Commanders D/ST Wsh, D/ST$1
182Juwan Johnson NO, TE$1
8Austin Ekeler Wsh, RB$86
10Davante Adams LV, WR$76
16James Conner Ari, RB$25
40Brock Purdy SF, QB$3
68Kirk Cousins Atl, QB$1
121Michael Thomas NO, WR$1
145Zach Ertz Wsh, TE$1
156Michael Gallup Dal, WR$1
163Titans D/ST Ten, D/ST$1
170Chris Boswell Pit, K$1
171Jaylen Warren Pit, RB$2
175Chiefs D/ST KC, D/ST$1
179Jimmy Garoppolo LAR, QB$1
15Tony Pollard Ten, RB$72
20Nick Chubb Cle, RB$70
42Kyle Pitts Atl, TE$21
61Christian Watson GB, WR$18
63Steelers D/ST Pit, D/ST$1
73Jerry Jeudy Cle, WR$9
82Dak Prescott Dal, QB$2
90Harrison Butker KC, K$1
95Michael Pittman Jr. Ind, WR$2
103Kadarius Toney KC, WR$1
116Russell Wilson Pit, QB$1
140DJ Chark Jr. Car, WR$1
151Patriots D/ST NE, D/ST$1
2Travis Kelce KC, TE$83
27Joe Burrow Cin, QB$31
50Aaron Jones Min, RB$34
60George Kittle SF, TE$16
65Alexander Mattison LV, RB$10
80Mike Evans TB, WR$5
81Terry McLaurin Wsh, WR$5
91J.K. Dobbins Bal, RB$2
94Christian Kirk Jax, WR$3
107Jordan Addison Min, WR$1
111Anthony Richardson Ind, QB$4
133Dolphins D/ST Mia, D/ST$1
155Jason Myers Sea, K$1
21Justin Fields Pit, QB$33
24Amon-Ra St. Brown Det, WR$57
34Josh Jacobs GB, RB$64
47Darren Waller NYG, TE$10
52T.J. Hockenson Min, TE$27
131Zamir White LV, RB$1
134Adam Thielen Car, WR$2
142Tyler Allgeier Atl, RB$1
153Ravens D/ST Bal, D/ST$1
161Younghoe Koo Atl, K$1
168Elijah Mitchell SF, RB$1
174Derek Carr NO, QB$1
178Tank Bigsby Jax, RB$1
14Derrick Henry Bal, RB$79
23Garrett Wilson NYJ, WR$57
35Lamar Jackson Bal, QB$34
46Evan Engram Jax, TE$8
59Justin Herbert LAC, QB$10
84Marquise Brown KC, WR$5
110Khalil Herbert Chi, RB$1
123Jakobi Meyers LV, WR$1
136Raheem Mostert Mia, RB$1
147Rashaad Penny Phi, RB$1
158Zach Charbonnet Sea, RB$1
165Matt Gay Ind, K$1
172Bengals D/ST Cin, D/ST$1
