3Bijan Robinson Atl, RB$91
21Travis Kelce KC, TE$45
37Nico Collins Hou, WR$32
46Patrick Mahomes KC, QB$19
60Cowboys D/ST Dal, D/ST$1
78Justin Tucker Bal, K$2
98Jaylen Warren Pit, RB$2
102Diontae Johnson Bal, WR$1
104Christian Kirk Hou, WR$2
116Courtland Sutton Den, WR$1
128Keon Coleman Buf, WR$1
129DeAndre Hopkins Bal, WR$2
140Tyler Lockett FA, WR$1
2Jonathan Taylor Ind, RB$76
5Ja'Marr Chase Cin, WR$81
43Stefon Diggs Hou, WR$27
79Jordan Love GB, QB$2
83Brock Bowers LV, TE$3
95Kirk Cousins Atl, QB$1
108Christian Watson GB, WR$2
122Adonai Mitchell Ind, WR$1
134Younghoe Koo Atl, K$1
143Hollywood Brown KC, WR$2
145Eagles D/ST Phi, D/ST$1
147Jerome Ford Cle, RB$2
155Jerry Jeudy Cle, WR$1
9Amon-Ra St. Brown Det, WR$73
11Caleb Williams Chi, QB$6
42Kenneth Walker III Sea, RB$27
52Evan Engram Den, TE$15
58Zay Flowers Bal, WR$9
61Kyler Murray Ari, QB$10
64Rashee Rice KC, WR$9
70James Conner Ari, RB$9
84Najee Harris LAC, RB$6
89Brian Thomas Jr. Jax, WR$2
100Raheem Mostert LV, RB$3
110Jake Elliott Phi, K$2
114Chiefs D/ST KC, D/ST$1
22Isiah Pacheco KC, RB$60
30James Cook Buf, RB$41
31Mike Evans TB, WR$45
38Alvin Kamara NO, RB$29
54Jaylen Waddle Mia, WR$11
68George Pickens Pit, WR$7
101T.J. Hockenson Min, TE$1
115Aaron Rodgers FA, QB$1
127Ladd McConkey LAC, WR$1
139Jonathon Brooks Car, RB$1
150Zach Charbonnet Sea, RB$1
160Saints D/ST NO, D/ST$1
167Evan McPherson Cin, K$1
4Michael Pittman Jr. Ind, WR$51
7Tyreek Hill Mia, WR$80
24Chris Olave NO, WR$52
67Tee Higgins Cin, WR$7
86Tony Pollard Ten, RB$2
94Jake Ferguson Dal, TE$1
121Justin Herbert LAC, QB$1
133Chase Brown Cin, RB$1
144Mike Williams LAC, WR$1
154Ty Chandler Min, RB$1
164Ja'Lynn Polk NE, WR$1
170Jaguars D/ST Jax, D/ST$1
175Cameron Dicker LAC, K$1
10Justin Jefferson Min, WR$78
26Malik Nabers NYG, WR$48
28Rachaad White TB, RB$41
55Anthony Richardson Ind, QB$11
59George Kittle SF, TE$7
76Zamir White LV, RB$4
87Brock Purdy SF, QB$2
96Jets D/ST NYJ, D/ST$1
111Rome Odunze Chi, WR$4
123Ka'imi Fairbairn Hou, K$1
135J.K. Dobbins LAC, RB$1
146Taysom Hill NO, TE$1
156Jaleel McLaughlin Den, RB$1
13DK Metcalf Pit, WR$40
20Kyren Williams LAR, RB$61
25Jalen Hurts Phi, QB$32
34Drake London Atl, WR$36
36Javonte Williams Dal, RB$6
53Joe Burrow Cin, QB$12
73Chris Godwin TB, WR$5
80Brian Robinson Jr. Wsh, RB$3
118Jayden Reed GB, WR$1
130Jakobi Meyers LV, WR$1
142Tyler Conklin NYJ, TE$1
152Dolphins D/ST Mia, D/ST$1
162Greg Zuerlein NYJ, K$1
6Breece Hall NYJ, RB$83
17Garrett Wilson NYJ, WR$56
33Joe Mixon Hou, RB$31
49DeVonta Smith Phi, WR$19
81Keenan Allen Chi, WR$3
93Jayden Daniels Wsh, QB$1
107Jaxon Smith-Njigba Sea, WR$1
132Pat Freiermuth Pit, TE$1
153Tyler Allgeier Atl, RB$1
163Khalil Shakir Buf, WR$1
169Curtis Samuel Buf, WR$1
174Bengals D/ST Cin, D/ST$1
179Jake Bates Det, K$1
19Jahmyr Gibbs Det, RB$61
35DJ Moore Chi, WR$33
44Brandon Aiyuk SF, WR$22
45Lamar Jackson Bal, QB$24
48Mark Andrews Bal, TE$35
63D'Andre Swift Chi, RB$9
69Amari Cooper Buf, WR$8
71Dallas Goedert Phi, TE$2
74Harrison Butker KC, K$2
9149ers D/ST SF, D/ST$1
105Tua Tagovailoa Mia, QB$1
119Chuba Hubbard Car, RB$1
131Steelers D/ST Pit, D/ST$1
23Travis Etienne Jr. Jax, RB$64
29Davante Adams LAR, WR$54
32C.J. Stroud Hou, QB$24
41Deebo Samuel Sr. Wsh, WR$39
57Calvin Ridley Ten, WR$8
85Chig Okonkwo Ten, TE$1
90David Njoku Cle, TE$4
99Ezekiel Elliott FA, RB$1
113Ravens D/ST Bal, D/ST$1
126Trevor Lawrence Jax, QB$1
138Baker Mayfield TB, QB$1
149Adam Thielen Car, WR$1
159Matt Gay Ind, K$1
8CeeDee Lamb Dal, WR$81
16Derrick Henry Bal, RB$55
51Trey McBride Ari, TE$18
56Dak Prescott Dal, QB$9
66Rhamondre Stevenson NE, RB$8
72Aaron Jones Min, RB$8
77Browns D/ST Cle, D/ST$2
82Terry McLaurin Wsh, WR$2
88David Montgomery Det, RB$4
92Austin Ekeler Wsh, RB$1
103Joshua Palmer Buf, WR$4
106Jameson Williams Det, WR$1
109Brandon Aubrey Dal, K$2
1Christian McCaffrey SF, RB$106
18Sam LaPorta Det, TE$47
39Josh Allen Buf, QB$31
75Tank Dell Hou, WR$5
97Jordan Addison Min, WR$1
120Xavier Worthy KC, WR$3
