Draft Recap - seacaptaindate.com - ESPN Fantasy Football
https://fantasy.espn.com/football/league/draftrecap?leagueId=462233
rows=192

1Ja'Marr Chase Cin, WR$97
2Travis Kelce KC, TE$14
37Davante Adams LAR, WR$31
67Jerry Jeudy Cle, WR$10
75Isiah Pacheco KC, RB$7
88Emeka Egbuka TB, WR$2
102J.K. Dobbins Den, RB$1
107Javonte Williams Dal, RB$2
118Travis Etienne Jr. Jax, RB$1
133Jared Goff Det, QB$1
146Seahawks D/ST Sea, D/ST$1
159Tyler Bass Buf, K$1
6Jayden Daniels Wsh, QB$44
15Brian Thomas Jr. Jax, WR$55
27Brock Bowers LV, TE$74
55Calvin Ridley Ten, WR$17
84Jakobi Meyers Jax, WR$2
89Caleb Williams Chi, QB$2
103Zach Charbonnet Sea, RB$1
119Keon Coleman Buf, WR$1
134Rashid Shaheed Sea, WR$1
147Jayden Higgins Hou, WR$1
160Patriots D/ST NE, D/ST$1
171Tyler Loop Bal, K$1
17Nico Collins Hou, WR$59
36Ladd McConkey LAC, WR$32
38James Cook III Buf, RB$43
42Alvin Kamara NO, RB$35
49Sam LaPorta Det, TE$18
87Tyrone Tracy Jr. NYG, RB$5
91Dak Prescott Dal, QB$1
93Chris Olave NO, WR$2
94Austin Ekeler Wsh, RB$2
138Tank Bigsby Phi, RB$1
151Lions D/ST Det, D/ST$1
163Chris Boswell Pit, K$1
21Courtland Sutton Den, WR$31
31Terry McLaurin Wsh, WR$33
44George Kittle SF, TE$24
47TreVeyon Henderson NE, RB$25
59Mike Evans TB, WR$22
64DeVonta Smith Phi, WR$14
66Tony Pollard Ten, RB$14
69Baker Mayfield TB, QB$10
70Aaron Jones Sr. Min, RB$9
85Brock Purdy SF, QB$5
95Broncos D/ST Den, D/ST$3
111Brandon Aubrey Dal, K$1
9Jahmyr Gibbs Det, RB$95
12CeeDee Lamb Dal, WR$82
62Jaylen Waddle Mia, WR$12
78David Njoku Cle, TE$3
99Michael Pittman Jr. Ind, WR$1
115J.J. McCarthy Min, QB$1
130Jayden Reed GB, WR$1
143Jerome Ford Cle, RB$1
156Cedric Tillman Cle, WR$1
168Bills D/ST Buf, D/ST$1
177Ray Davis Buf, RB$1
184Nick Folk NYJ, K$1
13Derrick Henry Bal, RB$86
33Tyreek Hill FA, WR$53
40Ricky Pearsall SF, WR$10
52DK Metcalf Pit, WR$24
54Xavier Worthy KC, WR$18
82Kyler Murray Ari, QB$3
126Steelers D/ST Pit, D/ST$1
140Chig Okonkwo Ten, TE$1
153Tua Tagovailoa Mia, QB$1
165Giants D/ST NYG, D/ST$1
175Theo Johnson NYG, TE$1
183Joshua Karty Ari, K$1
3Bijan Robinson Atl, RB$103
14Malik Nabers NYG, WR$79
71George Pickens Dal, WR$9
100Stefon Diggs NE, WR$1
116C.J. Stroud Hou, QB$1
131Jake Ferguson Dal, TE$1
144Dalton Kincaid Buf, TE$1
157Hollywood Brown KC, WR$1
169Jets D/ST NYJ, D/ST$1
178Will Shipley Phi, RB$1
185Jalen Coker Car, WR$1
190Brandon McManus GB, K$1
5Ashton Jeanty LV, RB$89
11De'Von Achane Mia, RB$80
61Zay Flowers Bal, WR$14
68Jameson Williams Det, WR$9
101Drake Maye NE, QB$1
117Colston Loveland Chi, TE$1
132Darnell Mooney Atl, WR$1
145Trey Benson Ari, RB$1
158Wan'Dale Robinson NYG, WR$1
170Cairo Santos Chi, K$1
179Ollie Gordon II Mia, RB$1
186Buccaneers D/ST TB, D/ST$1
4Justin Jefferson Min, WR$85
16Lamar Jackson Bal, QB$68
46James Conner Ari, RB$34
80Evan Engram Den, TE$5
125Khalil Shakir Buf, WR$1
139Bhayshul Tuten Jax, RB$1
152Tyler Allgeier Atl, RB$1
164Colts D/ST Ind, D/ST$1
174Dylan Sampson Cle, RB$1
182Christian Kirk Hou, WR$1
189Joshua Palmer Buf, WR$1
192Jason Myers Sea, K$1
