season,pos,name,team,proj_fpts
2008,QB,Tom Brady,NE,376
2008,QB,Peyton Manning,IND,322.5
2008,QB,Tony Romo,DAL,318
2008,QB,Drew Brees,NO,317.8
2008,QB,Derek Anderson,CLE,296
2008,QB,Jay Cutler,DEN,294.1
2008,QB,Ben Roethlisberger,PIT,288.7
2008,QB,David Garrard,JAC,280.5
2008,QB,Carson Palmer,CIN,279.3
2008,QB,Vince Young,TEN,271
2008,QB,Aaron Rodgers,GB,268.7
2008,QB,Donovan McNabb,PHI,268.5
2008,QB,Matt Schaub,HOU,268
2008,QB,Matt Hasselbeck,SEA,263.9
2008,QB,Jon Kitna,DET,261
2008,QB,Philip Rivers,SD,254.5
2008,QB,Jason Campbell,WAS,252.4
2008,QB,Brett Favre,NYJ,251.3
2008,QB,Eli Manning,NYG,250.9
2008,QB,Marc Bulger,STL,246.6
2008,QB,Jake Delhomme,CAR,245.5
2008,QB,Kurt Warner,ARI,244
2008,QB,Brodie Croyle,KC,222.8
2008,QB,Chad Pennington,MIA,210
2008,QB,Matt Ryan,ATL,210
2008,QB,JaMarcus Russell,LV,201.3
2008,QB,Trent Edwards,BUF,200
2008,QB,J.T. O'Sullivan,SF,198
2008,QB,Jeff Garcia,TB,161.1
2008,QB,Kyle Orton,CHI,159.9
2008,QB,Troy Smith,BAL,151.9
2008,QB,Tarvaris Jackson,MIN,150.7
2008,QB,Gus Frerotte,MIN,105.8
2008,QB,Rex Grossman,CHI,95.9
2008,QB,Matt Leinart,ARI,73.6
2008,QB,Joe Flacco,BAL,61.3
2008,QB,Alex Smith,SF,60.2
2008,QB,Brian Griese,TB,40.4
2008,QB,Luke McCown,TB,38.3
2008,QB,Kyle Boller,BAL,36.8
2008,QB,Andrew Walter,LV,35.4
2008,QB,Damon Huard,KC,32.9
2008,QB,J.P. Losman,BUF,32.8
2008,QB,Josh McCown,CAR,32.7
2008,QB,Cleo Lemon,JAC,31.8
2008,QB,Todd Collins,WAS,29.5
2008,QB,Trent Green,STL,29.5
2008,QB,Chad Henne,MIA,27.5
2008,QB,Patrick Ramsey,DEN,26.1
2008,QB,Kerry Collins,TEN,24.3
2008,QB,Jim Sorgi,IND,22
2008,QB,David Carr,NYG,19.9
2008,QB,Brady Quinn,CLE,19.8
2008,QB,Sage Rosenfels,HOU,18.9
2008,QB,Kellen Clemens,NYJ,17.2
2008,QB,Chris Redman,ATL,16.8
2008,QB,Kevin Kolb,PHI,16.8
2008,QB,Brad Johnson,DAL,15.1
2008,QB,Billy Volek,SD,14.8
2008,QB,Brian Brohm,GB,13.2
2008,QB,A.J. Feeley,PHI,10.5
2008,QB,Seneca Wallace,SEA,8.3
2008,QB,Dan Orlovsky,DET,6
2008,QB,Matt Cassel,NE,3.1
2008,QB,Ryan Fitzpatrick,CIN,2.7
2008,QB,Mark Brunell,NO,1.6
2008,RB,LaDainian Tomlinson,SD,323.8
2008,RB,Adrian Peterson,MIN,282.9
2008,RB,Steven Jackson,STL,252
2008,RB,Brian Westbrook,PHI,241.7
2008,RB,Marion Barber,DAL,227.8
2008,RB,Joseph Addai,IND,227.3
2008,RB,Clinton Portis,WAS,223
2008,RB,Marshawn Lynch,BUF,218.6
2008,RB,Maurice Jones-Drew,JAC,210.9
2008,RB,Ryan Grant,GB,209.1
2008,RB,Willis McGahee,BAL,192.5
2008,RB,Larry Johnson,KC,190.4
2008,RB,Frank Gore,SF,186.2
2008,RB,Kevin Smith,DET,185
2008,RB,Earnest Graham,TB,180.9
2008,RB,Selvin Young,DEN,176.5
2008,RB,Brandon Jacobs,NYG,173
2008,RB,Jamal Lewis,CLE,172.8
2008,RB,Willie Parker,PIT,172.5
2008,RB,Thomas Jones,NYJ,172.4
2008,RB,Laurence Maroney,NE,171
2008,RB,Michael Turner,ATL,169.2
2008,RB,Edgerrin James,ARI,168.2
2008,RB,LenDale White,TEN,168.1
2008,RB,Reggie Bush,NO,166
2008,RB,Darren McFadden,LV,156.7
2008,RB,Justin Fargas,LV,155
2008,RB,Chris Perry,CIN,145.5
2008,RB,Fred Taylor,JAC,143
2008,RB,Matt Forte,CHI,141.7
2008,RB,DeAngelo Williams,CAR,138.3
2008,RB,Chester Taylor,MIN,133.7
2008,RB,Julius Jones,SEA,130
2008,RB,Ricky Williams,MIA,126.5
2008,RB,Steve Slaton,HOU,123.5
2008,RB,Ronnie Brown,MIA,120.5
2008,RB,Jerious Norwood,ATL,115
2008,RB,Jonathan Stewart,CAR,112.6
2008,RB,Kenny Watson,CIN,104.9
2008,RB,Rashard Mendenhall,PIT,102.1
2008,RB,Ahmad Bradshaw,NYG,98.2
2008,RB,Felix Jones,DAL,97
2008,RB,Ray Rice,BAL,95.7
2008,RB,Jason Wright,CLE,92.4
