player,pos,team,status,injury,depth
Darnell Mooney,WR,ATL,Questionable,Shoulder,2
Isaiah Likely,TE,BAL,Out,Foot,1
Tyler Bass,K,BUF,Out,Hip,
Roschon Johnson,RB,CHI,Questionable,Foot,3
Nate Adkins,TE,DEN,Out,Ankle,3
Sione Vaki,RB,DET,Out,Hamstring,3
Dontayvion Wicks,WR,GB,Questionable,Calf,4
Jayden Reed,WR,GB,Questionable,Foot,2
Savion Williams,WR,GB,Questionable,Hamstring,5
Braxton Berrios,WR,HOU,Out,Hamstring,8
Christian Kirk,WR,HOU,Out,Hamstring,3
Tyler Goodson,RB,IND,Questionable,Elbow,2
Jalen Royals,WR,KC,Out,Knee,5
Darren Waller,TE,MIA,Out,Hip,1
Dee Eskridge,WR,MIA,Questionable,Concussion,4
Jaylen Wright,RB,MIA,Out,Knee,2
Zavier Scott,RB,MIN,Out,Ankle,3
Tanner McKee,QB,PHI,Out,Thumb,2
Skylar Thompson,QB,PIT,Questionable,Hamstring,4
Dareke Young,WR,SEA,Out,Hamstring,5
Jake Bobo,WR,SEA,Out,Concussion,5
Christian McCaffrey,RB,SF,Questionable,Calf,1
Jordan Watkins,WR,SF,Doubtful,Ankle,4
Jordan James,RB,SF,Doubtful,Finger,2
Chris Godwin Jr.,WR,TB,Out,Ankle,1
Kalel Mullings,RB,TEN,Questionable,Ankle,3
Ryan Flournoy,WR,DAL,,,3
Malik Cunningham,WR,DET,,,6
Darrynton Evans,RB,BUF,,,4
Dylan Laube,RB,LV,,,2
Lawrance Toafili,RB,NYJ,,,6
Jacardia Wright,RB,SEA,,,7
Johnny Wilson,WR,PHI,,,3
Luke Lachey,TE,HOU,,,5
Ronnie Bell,WR,NO,,,8
Connor Heyward,TE,PIT,,,4
Dez Fitzpatrick,WR,LAC,,,13
Johnny Johnson III,WR,HOU,,,13
Maurice Alexander,WR,CHI,,,5
Brennan Presley,WR,LA,,,7
Erik Ezukanma,WR,MIA,,,6
Antonio Gibson,RB,NE,,,3
Anthony Firkser,TE,DET,,,2
Brandon Smith,WR,PIT,,,8
Tai Felton,WR,MIN,,,3
Luke Farrell,TE,SF,,,3
Donovan Peoples-Jones,WR,NO,,,9
Mason Pline,TE,NO,,,5
Austin Trammell,WR,JAX,,,6
Jermaine Burton,WR,CIN,,,6
Noah Brown,WR,WAS,,,4
Jacob Saylors,RB,DET,,,4
Johnny Mundt,TE,PHI,,,2
Deion Hankins,RB,CHI,,,5
Dante Pettis,WR,NO,,,6
Alvin Kamara,RB,NO,,,2
Cooper Kupp,WR,SEA,,,2
Tre' Harris,WR,LAC,,,3
Teddy Bridgewater,QB,DET,,,2
Carson Steele,RB,PHI,,,4
Ramel Keyton,WR,TEN,,,10
Emory Jones,QB,ATL,,,4
Drake Dabney,TE,GB,,,4
Luke Floriea,WR,CLE,,,7
Ricky Pearsall,WR,SF,,,2
Trenton Irwin,WR,JAX,,,5
Chandler Brayboy,WR,JAX,,,7
KhaDarel Hodge,WR,ATL,,,4
Raheim Sanders,RB,CLE,,,3
Trent Taylor,WR,SF,,,8
Darius Slayton,WR,NYG,,,2
T.J. Luther,WR,CAR,,,12
Myles Price,WR,MIN,,,5
Jared Wiley,TE,KC,,,3
Malik Washington,WR,MIA,,,2
Feleipe Franks,TE,ATL,,,5
Matthew Golden,WR,GB,,,3
Quintin Morris,TE,JAX,,,2
Scotty Washington,TE,BAL,,,5
Wan'Dale Robinson,WR,TEN,,,2
Gee Scott Jr.,TE,NE,,,4
Elijah Arroyo,TE,SEA,,,2
