player,pos,team,category,severity,detail,source,asof,url
Darnell Mooney,WR,ATL,injury,medium,Questionable - Shoulder,nflverse-injury,2026-09-04T03:47:08.965Z,
Isaiah Likely,TE,BAL,injury,high,Out - Foot,nflverse-injury,2026-09-04T03:47:08.965Z,
Tyler Bass,K,BUF,injury,high,Out - Hip,nflverse-injury,2026-09-04T03:47:08.965Z,
Roschon Johnson,RB,CHI,injury,medium,Questionable - Foot,nflverse-injury,2026-09-04T03:47:08.965Z,
Nate Adkins,TE,DEN,injury,high,Out - Ankle,nflverse-injury,2026-09-04T03:47:08.965Z,
Sione Vaki,RB,DET,injury,high,Out - Hamstring,nflverse-injury,2026-09-04T03:47:08.965Z,
Dontayvion Wicks,WR,GB,injury,medium,Questionable - Calf,nflverse-injury,2026-09-04T03:47:08.965Z,
Jayden Reed,WR,GB,injury,medium,Questionable - Foot,nflverse-injury,2026-09-04T03:47:08.965Z,
Savion Williams,WR,GB,injury,medium,Questionable - Hamstring,nflverse-injury,2026-09-04T03:47:08.965Z,
Braxton Berrios,WR,HOU,injury,high,Out - Hamstring,nflverse-injury,2026-09-04T03:47:08.965Z,
Christian Kirk,WR,HOU,injury,high,Out - Hamstring,nflverse-injury,2026-09-04T03:47:08.965Z,
Tyler Goodson,RB,IND,injury,medium,Questionable - Elbow,nflverse-injury,2026-09-04T03:47:08.965Z,
Jalen Royals,WR,KC,injury,high,Out - Knee,nflverse-injury,2026-09-04T03:47:08.965Z,
Darren Waller,TE,MIA,injury,high,Out - Hip,nflverse-injury,2026-09-04T03:47:08.965Z,
Dee Eskridge,WR,MIA,injury,medium,Questionable - Concussion,nflverse-injury,2026-09-04T03:47:08.965Z,
Jaylen Wright,RB,MIA,injury,high,Out - Knee,nflverse-injury,2026-09-04T03:47:08.965Z,
Zavier Scott,RB,MIN,injury,high,Out - Ankle,nflverse-injury,2026-09-04T03:47:08.965Z,
Tanner McKee,QB,PHI,injury,high,Out - Thumb,nflverse-injury,2026-09-04T03:47:08.965Z,
Skylar Thompson,QB,PIT,injury,medium,Questionable - Hamstring,nflverse-injury,2026-09-04T03:47:08.965Z,
Dareke Young,WR,SEA,injury,high,Out - Hamstring,nflverse-injury,2026-09-04T03:47:08.965Z,
Jake Bobo,WR,SEA,injury,high,Out - Concussion,nflverse-injury,2026-09-04T03:47:08.965Z,
Christian McCaffrey,RB,SF,injury,medium,Questionable - Calf,nflverse-injury,2026-09-04T03:47:08.965Z,
Jordan Watkins,WR,SF,injury,high,Doubtful - Ankle,nflverse-injury,2026-09-04T03:47:08.965Z,
Jordan James,RB,SF,injury,high,Doubtful - Finger,nflverse-injury,2026-09-04T03:47:08.965Z,
Chris Godwin Jr.,WR,TB,injury,high,Out - Ankle,nflverse-injury,2026-09-04T03:47:08.965Z,
Kalel Mullings,RB,TEN,injury,medium,Questionable - Ankle,nflverse-injury,2026-09-04T03:47:08.965Z,
Baker Mayfield,QB,TB,headline,low,22 people with the most to gain (or lose) this NFL season: Barnwell on Mayfield; Pickens; Mannion; more,rss:espn,2026-09-04T02:10:39.000Z,https://www.espn.com/nfl/story/_/id/49784757/2026-nfl-season-players-coaches-gms-pressure-most-gain-lose
