Rank,Player,Pos,Us_Pos,ECR_Pos,ESPN_Pos,Tier,Team,Bye,Age,Exp,Ht,Wt,40yd,OurValue$,vsECR,ADP,vsADP,Mkt30d,ProjPts,P10,P50,P90,2025Pts,2025Gms,ECR,ECR_Best,ECR_Worst,ESPN_Rank,ESPN_ADP,Rostered%,SleeperBuzz,Depth,Latest News,NewsURL,Eligible
1,Bijan Robinson,RB,RB1,RB2,RB2,RB-T1,ATL,11,24.6,4,5'11",215,4.46,91,3,2.2,1,-210,236.5,83.2,230.1,391.4,331.3,17,4.19,2,5,2,2.4,100,,,,,RB
2,Jahmyr Gibbs,RB,RB2,RB1,RB1,RB-T1,DET,6,24.5,4,5'9",202,4.36,86,0,1.5,0,-167,229.7,84.9,226.1,363.2,328.4,17,2.43,1,5,1,1.3,100,,,,,RB
3,Ja'Marr Chase,WR,WR1,WR1,WR2,WR-T1,CIN,6,26.5,6,6'0",205,4.34,80,-2,3.9,1,-233,226.8,133.8,239.1,306,251.1,16,1.49,1,4,4,4.3,100,,,,,WR
4,Jaxon Smith-Njigba,WR,WR2,WR3,WR3,WR-T1,SEA,11,24.5,4,6'0",197,,78,1,5.9,2,10,224.6,106.4,236.1,317.5,300.4,17,4.61,1,9,5,6.4,100,,,,,WR
5,Christian McCaffrey,RB,RB3,RB3,RB3,RB-T1,SF,8,30.2,10,5'11",210,4.48,77,5,5.5,1,430,218.1,81.9,213.8,337.7,365.6,17,9.58,5,24,6,7.6,100,,,,,RB
6,Puka Nacua,WR,WR3,WR2,WR1,WR-T1,LAR,11,25.3,4,6'2",216,,76,-3,2.8,-3,-462,222,124.8,233.7,309.6,310.5,16,3.43,1,9,3,5.3,100,,,NFL confirms Puka Nacua is playing in Rams' season opener (rss:yahoo),https://sports.yahoo.com/articles/nfl-confirms-puka-nacua-playing-220028387.html,WR
7,Amon-Ra St. Brown,WR,WR4,WR4,WR4,WR-T1,DET,6,26.9,6,6'0",202,4.51,66,-2,7.9,1,-253,207.7,101.7,208.5,292.4,265.5,17,5.4,3,9,8,8.5,100,,,,,WR
8,Jonathan Taylor,RB,RB4,RB4,RB4,RB-T2,IND,13,27.6,7,5'10",226,4.39,65,4,5.9,-2,321,201,73.4,190.7,310.9,339.3,17,11.82,6,33,7,6.2,100,,,,,RB
9,Drake London,WR,WR5,WR7,WR7,WR-T1,ATL,11,25.1,5,6'4",215,,64,4,13.9,5,-939,205.8,110.6,208.7,299.6,167.9,12,13.17,8,26,14,20.8,100,,,,,WR
10,Trey McBride,TE,TE1,TE1,TE1,TE-T1,ARI,14,26.8,5,6'4",246,,64,9,42.8,33,-892,182.5,95.9,181.3,265.5,252.9,17,18.5,16,35,20,23.5,100,,,,,TE
11,Josh Allen,QB,QB1,QB1,QB1,QB-T1,BUF,7,30.3,9,6'5",237,4.75,63,15,29.7,19,-429,303,132.1,318.9,427.3,364.6,16,25.77,21,43,36,18.9,100,,,,,QB
12,Omarion Hampton,RB,RB5,RB10,RB12,RB-T2,LAC,7,23.5,2,6'0",220,4.46,63,13,22.5,11,68,199.1,94.9,192.3,302.9,119.7,9,25.4,7,43,19,17.8,100,,,,,RB
13,Drake Maye,QB,QB2,QB3,QB4,QB-T1,NE,11,24,3,6'4",225,,62,24,52.1,39,-132,301.6,135.2,318.9,432,351.5,17,37.1,27,79,60,46.5,100,,,Drake Maye was awesome in 2025 ... could he be even better in 2026? Why he's ready to level up (rss:espn),https://www.espn.com/nfl/story/_/id/49860900/new-england-patriots-qb-drake-maye-2026-nfl-season-aj-brown,QB
14,De'Von Achane,RB,RB6,RB7,RB7,RB-T2,MIA,6,24.9,4,5'9",191,4.32,60,7,10.5,-3,384,194.5,93.5,191.6,298,289.3,16,21.49,11,39,13,13.4,100,,,,,RB
15,Jeremiyah Love,RB,RB7,RB14,RB10,RB-T2,ARI,14,21.3,R,6'0",212,4.36,58,25,27.7,13,-763,191.8,87.1,188.6,303.7,,,40.1,23,65,17,25.3,99,,,Cardinals list Tyler Allgeier as RB1  Jeremiyah Love as RB2 on Week 1 depth chart (rss:pft),https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/cardinals-list-tyler-allgeier-as-rb1-jeremiyah-love-as-rb2-on-week-1-depth-chart,RB
16,CeeDee Lamb,WR,WR6,WR5,WR5,WR-T2,DAL,14,27.4,7,6'2",198,4.5,57,-7,12.1,-4,-162,195.6,99.7,195.5,286.7,163.4,13,9.03,6,15,9,11.5,100,,,,,WR
17,Brock Bowers,TE,TE2,TE2,TE2,TE-T1,LV,13,23.7,3,6'3",235,,55,4,40.1,23,110,171,83.9,172.8,259.3,144.2,12,21.2,11,57,21,23.9,100,,,,,TE
18,Lamar Jackson,QB,QB3,QB2,QB3,QB-T1,BAL,13,29.6,,6'2",212,4.58,54,14,55.6,38,-34,290.2,133.7,304.9,421.4,214.9,13,31.84,25,66,58,32.9,100,,,,,QB
19,James Cook III,RB,RB8,RB5,RB6,RB-T2,BUF,7,26.9,5,5'11",190,4.42,52,-4,9.5,-9,461,184.3,73.2,187.9,307.7,285.7,17,14.97,7,31,12,10.2,100,,,,,RB
20,Ashton Jeanty,RB,RB9,RB11,RB9,RB-T2,LV,13,22.7,2,5'8",208,,52,9,23.1,3,-899,183.2,76,186.2,305.3,217.6,17,28.95,7,53,16,21.6,100,,,,,RB
21,Breece Hall,RB,RB10,RB13,RB13,RB-T2,NYJ,13,25.3,5,5'11",217,4.39,51,19,31.4,10,-284,182.2,67.6,186.4,310.9,189.7,16,39.52,30,53,22,35.8,98,,,,,RB
22,Justin Jefferson,WR,WR7,WR6,WR6,WR-T2,MIN,6,27.2,,6'0",223,4.43,48,-13,13.1,-9,167,183,102.6,183.4,266.2,159.5,17,9.17,4,29,10,12.3,100,,,,,WR
23,Caleb Williams,QB,QB4,QB7,QB13,QB-T2,CHI,10,24.8,3,6'1",226,,47,42,87.5,65,-249,281.3,132.5,294.3,409.4,317.7,17,65.14,31,98,104,85.4,96,,,,,QB
24,A.J. Brown,WR,WR8,WR8,WR10,WR-T2,NE,11,29.2,8,6'1",226,4.49,47,-10,17,-7,632,181.7,100.2,187,255.1,181.3,15,13.73,6,40,26,21.5,100,,,Latest injury updates should mean even bigger role for A.J. Brown in Super Bowl rematch vs. Seahawks (rss:yardbarker),https://www.yardbarker.com/nfl/articles/latest_injury_updates_should_mean_even_bigger_role_for_aj_brown_in_super_bowl_rematch_vs_seahawks/s1_13132_44279179,WR
25,Joe Burrow,QB,QB5,QB4,QB6,QB-T2,CIN,6,29.7,7,6'4",215,,46,20,54.6,30,-443,279.6,127.1,294.4,417.3,134.5,8,44.89,27,74,81,52.7,99,,,Joe Burrow silences any doubts about staying with the Bengals (rss:yahoo),https://sports.yahoo.com/articles/joe-burrow-silences-doubts-staying-224912598.html,QB
26,George Pickens,WR,WR9,WR11,WR12,WR-T2,DAL,14,25.5,5,6'3",205,4.47,45,-6,19.9,-6,-217,179.8,96.4,185.1,254.8,245.4,17,20.43,9,40,28,28.3,100,,,,,WR
