Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
1	Jahmyr Gibbs	RB	RB1	RB1	RB1	RB-T1	DET	6	24.5	4	5'9"	202	4.36	110	1	319.2	289.9	17	2.48	1	7	1	1.3	100			Brad Holmes: Long-term plans for Sam LaPorta; Brian Branch haven't changed (rss:yahoo)	https://sports.yahoo.com/articles/brad-holmes-long-term-plans-010302405.html
2	Bijan Robinson	RB	RB2	RB2	RB2	RB-T1	ATL	11	24.6	4	5'11"	215	4.46	90	2	278.6	289.8	17	4.1	2	7	2	2.4	99				
3	Josh Allen	QB	QB1	QB1	QB1	QB-T1	BUF	7	30.3	9	6'5"	237	4.75	86	23	407.1	364.6	16	25.84	21	39	36	19.3	100				
4	Christian McCaffrey	RB	RB3	RB3	RB3	RB-T1	SF	8	30.2	10	5'11"	210	4.48	84	5	266.9	314.6	17	9.24	5	24	6	7.7	100				
5	Ja'Marr Chase	WR	WR1	WR1	WR1	WR-T1	CIN	6	26.5	6	6'0"	205	4.34	74	-3	257.1	188.6	16	1.55	1	4	3	4.3	100				
6	Jonathan Taylor	RB	RB4	RB4	RB4	RB-T2	IND	13	27.6	7	5'10"	226	4.39	73	6	244.3	314.3	17	11.93	7	33	7	6.2	99				
7	Lamar Jackson	QB	QB2	QB2	QB3	QB-T1	BAL	13	28.4	3	6'2"	212	4.58	70	25	374.1	218.9	13	32.06	25	61	58	35.0	99			Ravens' DeCosta 'optimistic' Lamar deal gets done (rss:espn)	https://www.espn.com/nfl/story/_/id/49807799/eric-decosta-optimistic-ravens-lamar-jackson-reach-deal-march
8	James Cook III	RB	RB5	RB5	RB6	RB-T2	BUF	7	26.9	5	5'11"	190	4.42	67	8	233.4	269.2	17	15.97	7	34	12	10.2	100				
9	Drake Maye	QB	QB3	QB3	QB4	QB-T1	NE	11	24.0	3	6'4"	225		65	29	363.6	353.0	17	37.67	26	74	60	47.3	99				
10	Puka Nacua	WR	WR2	WR2	WR2	WR-T1	LAR	11	25.3	4	6'2"	216		62	-7	233.2	246.0	16	3.19	1	8	4	5.3	100				
11	Joe Burrow	QB	QB4	QB4	QB6	QB-T2	CIN	6	29.7	7	6'4"	215		59	35	351.6	134.5	8	45.81	27	72	81	53.9	98				
12	Chase Brown	RB	RB6	RB6	RB14	RB-T2	CIN	6	26.4	4	5'10"	211	4.43	59	6	217.2	211.6	17	17.86	8	34	23	17.2	99				
13	De'Von Achane	RB	RB7	RB7	RB7	RB-T2	MIA	6	24.9	4	5'9"	191	4.32	57	8	212.1	255.8	16	20.99	10	43	13	12.3	99				
14	Brock Bowers	TE	TE1	TE1	TE2	TE-T1	LV	13	23.7	3	6'3"	235		56	5	177.6	110.2	12	19.03	11	57	21	24.0	100				
15	Saquon Barkley	RB	RB8	RB8	RB8	RB-T2	PHI	10	29.6	9	6'0"	232	4.4	55	9	207.2	193.3	16	24.35	10	39	15	14.0	100			Reports: Man charged in Barkley break-in case (rss:espn)	https://www.espn.com/nfl/story/_/id/49807101/man-charged-connection-attempted-burglary-barkley-home
16	Omarion Hampton	RB	RB9	RB9	RB12	RB-T3	LAC	7	23.5	2	6'0"	220	4.46	50	10	198.0	103.7	9	25.57	7	47	19	18.6	99				
