player,pos,points,player_sk,p10,p50,p90
Drake Maye,QB,321.6,12589,71.2,370.4,679.6
Josh Allen,QB,316.9,14913,70.2,364.9,669.6
Lamar Jackson,QB,307,14917,68,353.5,648.5
Jayden Daniels,QB,297,12590,65.7,342,627.4
Joe Burrow,QB,291.3,14066,64.5,335.4,615.4
Caleb Williams,QB,290.9,12588,64.4,335,614.6
Jalen Hurts,QB,289,14072,64,332.9,610.7
Bijan Robinson,RB,287.7,12955,80.6,272.5,504.6
Justin Herbert,QB,284,14068,62.9,327.1,600.1
Trevor Lawrence,QB,277.8,13731,61.5,319.9,586.9
Jahmyr Gibbs,RB,270.6,12956,75.8,256.3,474.5
Dak Prescott,QB,259,15762,57.3,298.3,547.3
Jaxson Dart,QB,257.4,12219,57,296.5,543.9
Brock Purdy,QB,254.1,13331,56.3,292.7,537
Bo Nix,QB,249.8,12591,55.3,287.7,527.8
Puka Nacua,WR,245.8,13004,118.8,254.3,387.2
Christian McCaffrey,RB,241.3,15363,67.6,228.6,423.3
De'Von Achane,RB,238.7,12961,66.8,226,418.6
Jonathan Taylor,RB,236.9,14091,66.3,224.4,415.4
Patrick Mahomes II,QB,235.7,15351,52.2,271.5,498.1
Kyler Murray,QB,234.1,14470,51.8,269.5,494.5
Jeremiyah Love,RB,233.6,11930,65.4,221.2,409.6
Ja'Marr Chase,WR,232.6,13771,112.4,240.6,366.4
Jared Goff,QB,229,15753,50.7,263.7,483.9
Jaxon Smith-Njigba,WR,227.6,12979,110,235.4,358.5
Matthew Stafford,QB,224.6,18559,49.7,258.6,474.5
Omarion Hampton,RB,222.6,12231,62.3,210.9,390.5
Jordan Love,QB,217.9,14071,48.2,250.9,460.3
Drake London,WR,210.7,13382,101.8,217.9,331.9
James Cook III,RB,209.7,13347,58.7,198.6,367.7
Amon-Ra St. Brown,WR,208.4,13777,100.7,215.5,328.2
Breece Hall,RB,207.9,13340,58.2,196.9,364.6
Trey McBride,TE,206.7,13424,66.1,219.5,403
Baker Mayfield,QB,206.6,14914,45.7,237.9,436.4
Ashton Jeanty,RB,206.3,12229,57.8,195.4,361.8
Kyren Williams,RB,201.7,13342,56.5,191.1,353.8
Chase Brown,RB,201.6,12975,56.5,191,353.6
CeeDee Lamb,WR,196.1,14119,94.8,202.9,308.9
Tyler Shough,QB,194.6,12226,43.1,224.1,411.1
George Pickens,WR,187.1,13393,90.4,193.5,294.6
Justin Jefferson,WR,187.1,14123,90.4,193.5,294.7
Javonte Williams,RB,184.6,13748,51.7,174.8,323.7
A.J. Brown,WR,184.3,14517,89,190.6,290.2
Kenneth Walker III,RB,181.8,13343,50.9,172.2,318.8
Nico Collins,WR,180.4,13780,87.2,186.7,284.2
Brock Bowers,TE,179.9,12648,57.5,191,350.6
Chris Olave,WR,179.8,13385,86.9,186,283.2
Rashee Rice,WR,178.2,12988,86.1,184.4,280.8
Cam Skattebo,RB,177.9,12232,49.8,168.5,312
Malik Willis,QB,176.6,13327,39.1,203.3,373.1
Tetairoa McMillan,WR,176,12256,85.1,182.1,277.3
Bucky Irving,RB,175.6,12607,49.2,166.3,307.9
Malik Nabers,WR,175.5,12623,84.8,181.6,276.5
C.J. Stroud,QB,171.9,12944,38.1,198,363.3
Saquon Barkley,RB,170.4,14928,47.7,161.4,298.8
Sam Darnold,QB,170,14916,37.6,195.7,359.1
Cam Ward,QB,169.5,12217,37.5,195.2,358.1
Zay Flowers,WR,169.3,12984,81.8,175.1,266.6
Bryce Young,QB,167.5,12942,37.1,192.9,353.9
Daniel Jones,QB,165.6,14473,36.7,190.7,349.8
Garrett Wilson,WR,162.9,13384,78.7,168.5,256.6
Quinshon Judkins,RB,162.2,12238,45.4,153.6,284.4
DeVonta Smith,WR,160.2,13772,77.4,165.7,252.3
D'Andre Swift,RB,160.1,14086,44.8,151.6,280.8
Davante Adams,WR,156.8,16615,75.8,162.2,247
Jacoby Brissett,QB,156.1,15758,34.6,179.7,329.8
Emeka Egbuka,WR,156.1,12266,75.4,161.4,245.8
Luther Burden III,WR,156.1,12255,75.5,161.5,245.9
Jaylen Waddle,WR,155.8,13774,75.3,161.2,245.4
Tee Higgins,WR,155.6,14122,75.2,160.9,245.1
Terry McLaurin,WR,155.3,14522,75,160.6,244.6
Travis Etienne Jr.,RB,154.9,13745,43.4,146.7,271.6
Derrick Henry,RB,154.3,15766,43.2,146.1,270.6
Ladd McConkey,WR,152.8,12635,73.9,158.1,240.7
Carnell Tate,WR,152.7,11953,73.8,157.9,240.5
Jameson Williams,WR,151.9,13387,73.4,157.1,239.2
Jadarian Price,RB,151.6,11931,42.5,143.6,265.9
Aaron Rodgers,QB,148.8,19769,32.9,171.3,314.3
Fernando Mendoza,QB,148.7,11921,32.9,171.2,314.1
Rome Odunze,WR,146.6,12624,70.9,151.7,230.9
Brandon Aubrey,K,145.8,13202,55.6,168.7,228.1
Christian Watson,WR,145.7,13419,70.4,150.7,229.5
Tyler Warren,TE,143.7,12286,45.9,152.5,280
TreVeyon Henderson,RB,141.6,12230,39.6,134.1,248.3
Kyle Pitts Sr.,TE,141.5,13815,45.2,150.3,275.9
Marvin Harrison Jr.,WR,140.8,12622,68,145.6,221.8
Ka'imi Fairbairn,K,140.4,15987,53.6,162.4,219.6
Colston Loveland,TE,140.1,12288,44.8,148.7,273
Parker Washington,WR,140,12986,67.7,144.8,220.5
Geno Smith,QB,139.8,16986,30.9,161,295.3
DJ Moore,WR,137.6,14958,66.5,142.4,216.8
Cameron Dicker,K,135.9,13605,51.8,157.2,212.6
Jonathon Brooks,RB,134,12606,37.5,126.9,235.1
George Kittle,TE,132.2,15524,42.2,140.3,257.6
Jaylen Warren,RB,132,13373,37,125,231.5
Brian Thomas Jr.,WR,130.8,12626,63.2,135.3,206
Cam Little,K,130.2,12687,49.7,150.6,203.6
DK Metcalf,WR,130,14515,62.8,134.5,204.8
Harold Fannin Jr.,TE,129,12287,41.2,137,251.4
Mike Evans,WR,128.5,16611,62.1,132.9,202.4
