player,pos,team,proj,adp
Christian McCaffrey,RB,SF,340,1.2
Ja'Marr Chase,WR,CIN,315,2.1
Bijan Robinson,RB,ATL,305,3.4
CeeDee Lamb,WR,DAL,300,3.8
Tyreek Hill,WR,MIA,298,5.0
Breece Hall,RB,NYJ,290,5.5
Amon-Ra St. Brown,WR,DET,288,6.2
Jahmyr Gibbs,RB,DET,285,7.0
Saquon Barkley,RB,PHI,283,8.1
Justin Jefferson,WR,MIN,295,4.5
A.J. Brown,WR,PHI,278,9.0
Garrett Wilson,WR,NYJ,265,12.0
Jonathan Taylor,RB,IND,270,11.0
Josh Allen,QB,BUF,400,18.0
Jalen Hurts,QB,PHI,395,22.0
Lamar Jackson,QB,BAL,392,24.0
Sam LaPorta,TE,DET,230,26.0
Travis Kelce,TE,KC,235,20.0
Mark Andrews,TE,BAL,215,40.0
Patrick Mahomes,QB,KC,388,30.0
Derrick Henry,RB,BAL,262,14.0
Nico Collins,WR,HOU,255,16.0
Drake London,WR,ATL,250,19.0
De'Von Achane,RB,MIA,258,13.0
Puka Nacua,WR,LAR,268,10.0
Harrison Butker,K,KC,150,140.0
Justin Tucker,K,BAL,148,145.0
Cowboys,DST,DAL,130,150.0
Ravens,DST,BAL,135,148.0
