player,pos,value
Jahmyr Gibbs,RB,99
Bijan Robinson,RB,98
Ja'Marr Chase,WR,98
Puka Nacua,WR,96
Jonathan Taylor,RB,94
Jaxon Smith-Njigba,WR,93
Christian McCaffrey,RB,91
Amon-Ra St. Brown,WR,91
James Cook III,RB,89
De'Von Achane,RB,87
CeeDee Lamb,WR,84
Justin Jefferson,WR,80
Omarion Hampton,RB,79
Chase Brown,RB,75
Saquon Barkley,RB,73
Derrick Henry,RB,70
Drake London,WR,66
Ashton Jeanty,RB,65
A.J. Brown,WR,63
Trey McBride,TE,61
Jeremiyah Love,RB,59
Brock Bowers,TE,58
Nico Collins,WR,56
Chris Olave,WR,56
